Deal Name,Deal Stage,Amount,Close Date
"James, Adams and Mayo Deal",Appointment Scheduled,19845.3,2024-08-16
Thomas-Franco Deal,Appointment Scheduled,79683.96,2024-11-14
Grant-Austin Deal,Qualified to Buy,2771.41,2024-06-28
Young Group Deal,Decision Maker Bought-In,1732.75,2024-07-23
"Henderson, Reid and Arnold Deal",Closed Won,99705.19,2024-08-26
Porter Group Deal,Presentation Scheduled,70436.11,2024-10-05
"Davis, Clark and Gonzalez Deal",Closed Won,17364.7,2024-08-30
Goodman Group Deal,Appointment Scheduled,49126.93,2024-06-30
Robertson Inc Deal,Decision Maker Bought-In,79796.67,2024-11-20
Clements and Sons Deal,Closed Won,32546.68,2024-08-07
"Preston, Barajas and Green Deal",Closed Won,95706.32,2024-09-26
"Lee, Munoz and Best Deal",Qualified to Buy,94225.1,2024-08-23
Johnson Ltd Deal,Qualified to Buy,90199.81,2024-09-03
Flores and Sons Deal,Closed Won,52151.3,2024-09-24
"Kelley, Schultz and Ryan Deal",Presentation Scheduled,80149.06,2024-07-27
Smith-Hayes Deal,Contract Sent,47262.22,2024-08-15
"Smith, Kemp and Williams Deal",Closed Won,54655.87,2024-09-27
Hansen-Case Deal,Closed Won,40025.47,2024-10-26
"Garcia, Delgado and Perry Deal",Presentation Scheduled,49217.87,2024-09-26
Rodriguez and Sons Deal,Qualified to Buy,26245.4,2024-09-25
Anderson LLC Deal,Decision Maker Bought-In,99494.73,2024-07-13
Barrett and Sons Deal,Closed Won,83915.17,2024-07-06
"Fuller, Mason and Johnson Deal",Closed Won,84133.98,2024-08-30
Mcfarland LLC Deal,Contract Sent,1114.75,2024-09-07
Klein-Beck Deal,Contract Sent,11985.87,2024-10-04
"Smith, Powell and Berg Deal",Presentation Scheduled,74116.83,2024-08-12
Ramsey Ltd Deal,Presentation Scheduled,65226.86,2024-10-26
Bell PLC Deal,Qualified to Buy,8687.41,2024-11-08
Kerr-Smith Deal,Appointment Scheduled,22746.83,2024-09-04
"Hunt, Cabrera and Burns Deal",Decision Maker Bought-In,3295.65,2024-09-01
"Smith, Thomas and Rodriguez Deal",Presentation Scheduled,94283.02,2024-07-07
Cruz PLC Deal,Appointment Scheduled,92603.7,2024-06-29
"Moore, Hurst and Garner Deal",Presentation Scheduled,27109.93,2024-12-12
"Alvarez, Fleming and Grant Deal",Decision Maker Bought-In,21190.21,2024-12-21
Johnson Group Deal,Contract Sent,64861.7,2024-12-11
"Potts, Lopez and Walker Deal",Contract Sent,78738.71,2024-11-30
Miller-Aguirre Deal,Presentation Scheduled,78738.73,2024-11-17
"Roth, Pruitt and Mcdowell Deal",Qualified to Buy,7151.23,2024-09-05
Brown PLC Deal,Presentation Scheduled,85894.72,2024-12-19
"Wade, Wilson and Alexander Deal",Appointment Scheduled,29655.86,2024-10-13
"Oconnell, Baldwin and Berry Deal",Decision Maker Bought-In,19089.48,2024-09-02
Johnson Ltd Deal,Decision Maker Bought-In,51984.21,2024-06-30
Taylor Inc Deal,Qualified to Buy,70434.24,2024-12-17
"Campbell, Wong and Jones Deal",Closed Won,69199.13,2024-07-12
Wheeler Group Deal,Appointment Scheduled,38375.66,2024-12-10
Larson-Patton Deal,Contract Sent,12037.6,2024-10-07
Graves and Sons Deal,Contract Sent,7638.18,2024-07-05
Collins Group Deal,Closed Won,20669.05,2024-09-24
Williams and Sons Deal,Presentation Scheduled,5270.88,2024-11-27
"Higgins, Brennan and Cordova Deal",Contract Sent,79485.38,2024-10-16
Hernandez-Goodman Deal,Contract Sent,8747.93,2024-11-10
Gregory-Foster Deal,Contract Sent,52827.97,2024-11-06
Thompson-Lee Deal,Closed Won,87121.84,2024-10-26
"Walters, Elliott and Hinton Deal",Qualified to Buy,54476.79,2024-07-24
Wood-Bird Deal,Presentation Scheduled,26190.18,2024-07-14
"Cook, Frazier and Miller Deal",Presentation Scheduled,31558.21,2024-07-05
Hopkins-Kelley Deal,Qualified to Buy,82398.72,2024-07-08
Perry-Campbell Deal,Closed Won,90232.05,2024-12-22
"Pratt, Lopez and Smith Deal",Presentation Scheduled,38600.54,2024-11-28
"Robinson, Leach and Willis Deal",Presentation Scheduled,50620.54,2024-10-03
Tucker-Greer Deal,Contract Sent,36527.96,2024-07-24
Floyd-Willis Deal,Closed Won,21610.62,2024-11-20
"Evans, Hamilton and Nguyen Deal",Appointment Scheduled,88564.04,2024-10-31
Booker Inc Deal,Closed Won,22582.33,2024-08-24
Branch-Johnson Deal,Qualified to Buy,79518.89,2024-09-01
Gibson LLC Deal,Presentation Scheduled,68651.51,2024-11-17
Moore LLC Deal,Decision Maker Bought-In,44207.28,2024-12-06
Hester Inc Deal,Decision Maker Bought-In,42371.88,2024-12-14
Smith-Whitehead Deal,Closed Won,62935.58,2024-09-03
Wilson-Casey Deal,Presentation Scheduled,24634.67,2024-08-06
Lamb-Dean Deal,Decision Maker Bought-In,58224.26,2024-07-21
"Watson, Sandoval and Mathis Deal",Decision Maker Bought-In,84074.86,2024-11-19
"Henderson, Bradley and Wood Deal",Contract Sent,10766.46,2024-09-27
"Osborn, Hancock and Ortega Deal",Qualified to Buy,77745.6,2024-09-06
"Kelly, Gardner and Hudson Deal",Decision Maker Bought-In,37179.45,2024-10-22
"Pham, Miles and Moyer Deal",Contract Sent,41790.55,2024-07-05
Hall Ltd Deal,Closed Won,7309.07,2024-12-01
Wilson Group Deal,Decision Maker Bought-In,98506.73,2024-10-20
Williams-Jimenez Deal,Contract Sent,5024.1,2024-12-04
"Williams, Black and Harrison Deal",Contract Sent,53168.29,2024-08-05
Brown Group Deal,Closed Won,62710.3,2024-10-08
"Romero, Collins and Young Deal",Presentation Scheduled,96666.3,2024-10-22
"Gonzalez, Powell and Cook Deal",Appointment Scheduled,73244.38,2024-09-06
"Johnson, Alvarez and Young Deal",Closed Won,96122.91,2024-09-30
Yates and Sons Deal,Qualified to Buy,78303.38,2024-12-04
Wilkins-Phillips Deal,Closed Won,88833.53,2024-11-02
"Bridges, Martinez and Rogers Deal",Appointment Scheduled,20097.48,2024-10-28
"Bonilla, Blake and Nash Deal",Contract Sent,11710.23,2024-10-30
Castaneda-Reed Deal,Decision Maker Bought-In,13825.71,2024-09-03
Evans-Thomas Deal,Contract Sent,68462.28,2024-09-06
Myers Ltd Deal,Presentation Scheduled,93441.38,2024-11-30
Mccullough Ltd Deal,Appointment Scheduled,76492.67,2024-09-26
Lopez-Smith Deal,Contract Sent,26850.48,2024-09-23
Brown-Melton Deal,Presentation Scheduled,93470.91,2024-11-30
"Webster, Larson and Ward Deal",Qualified to Buy,40645.47,2024-10-23
Hardin Group Deal,Presentation Scheduled,8746.39,2024-09-16
"Smith, Allen and Smith Deal",Decision Maker Bought-In,40401.6,2024-11-24
Rodgers Group Deal,Presentation Scheduled,51193.5,2024-12-15
Bailey-Mann Deal,Appointment Scheduled,24232.76,2024-11-09
Smith Inc Deal,Qualified to Buy,97551.05,2024-07-31
